id,osm_id,nome,nome_fr,quota_m,tag_altitudine,lat,lon,valle,provincia,gruppo_montuoso,prominenza_m,croce_vetta,difficolta_via_normale,dislivello_via_normale_m,rifugio_appoggio,wikidata,wikipedia,salita_personale,data_salita,note
001,1373112888,Grenzgipfel,,4618,4000+,45.9367278,7.8685613,Valle Anzasca,VB,Alpi Pennine,,,,,,Q673716,it:Grenzgipfel,no,,
002,1243390246,Nordendspitze,Nordend,4609,4000+,45.9419935,7.8699282,Valle Anzasca,VB,Alpi Pennine,93,,,,,Q30397,it:Punta Nordend,no,,
003,1373113085,Cima senza nome,,4570,4000+,45.9411284,7.8695013,Valle Anzasca,VB,Alpi Pennine,,,,,,,,no,,
004,307196932,Punta Gnifetti / Signalkuppe,Pointe Gnifetti,4554,4000+,45.9272119,7.8770798,Valle Anzasca,VB,Alpi Pennine,,,,,,Q30405,it:Punta Gnifetti,no,,
005,1373113055,Cima senza nome,,4550,4000+,45.9399149,7.8692824,Valle Anzasca,VB,Alpi Pennine,,,,,,,,no,,
006,3018568138,Cima senza nome,,4540,4000+,45.9389544,7.869067,Valle Anzasca,VB,Alpi Pennine,,,,,,,,no,,
007,918819227,Punta Giordani,Pointe Giordani,4046,4000+,45.9057584,7.8678048,Valle Anzasca,VB,Alpi Pennine,,,,,,Q679917,it:Punta Giordani,no,,
008,26864004,Monviso,Mont Viso,3841,3500+,44.6674397,7.089988,Valle Varaita,TO,Alpi Cozie Sud,2079,si,,,,Q1248,it:Monviso,no,,
009,1373115476,Cima di Jazzi,,3803,3500+,45.9804746,7.8942037,Valle Anzasca,VB,Alpi Pennine,,,,,,Q782954,it:Cima di Jazzi,no,,
010,2407060934,Viso di Vallanta,,3781,3500+,44.6653979,7.0862638,Valle Varaita,TO,Alpi Cozie Sud,,,,,,Q4014819,it:Viso di Vallanta,no,,
011,483087129,Torre del Gran San Pietro,,3692,3500+,45.5255288,7.3584426,Valli di Lanzo,TO,Alpi Graie,,si,,,,Q659710,it:Torre del Gran San Pietro,no,,
012,26863007,Uia di Ciamarella,La Grande Ciamarella,3676,3500+,45.3281581,7.1450437,Valli di Lanzo,TO,Alpi Graie,,,,,,Q590343,it:Uia di Ciamarella,no,,
013,1373114450,Grosses Fillarhorn,,3676,3500+,45.9637465,7.8811279,Valle Anzasca,VB,Alpi Pennine,,,,,,Q2628221,it:Gran Fillar,no,,
014,307242905,Pizzo d'Andolla,,3654,3500+,46.1008515,8.0347232,Val d'Ossola,VB,Alpi Lepontine,,,,,,Q668604,it:Pizzo d'Andolla,no,,
015,483087120,Testa della Tribolazione,,3642,3500+,45.5163217,7.2977035,Valli di Lanzo,TO,Alpi Graie,,,,,,Q3985172,it:Testa della Tribolazione,no,,
016,1373116117,Neue Weisstorspitze,,3641,3500+,45.9925986,7.9061074,Valle Anzasca,VB,Alpi Pennine,,,,,,Q1979825,,no,,
017,1942644063,Cima senza nome,,3640,3500+,45.4928043,7.2480293,Valli di Lanzo,TO,Alpi Graie,,,,,,,,no,,
018,1373115916,Neue Weisstorspitze,,3639,3500+,45.9887261,7.9035604,Valle Anzasca,VB,Alpi Pennine,,,,,,Q1979825,de:Neue Weisstorspitze,no,,
019,3018568584,Torre di Castelfranco,,3627,3500+,45.9728958,7.8794668,Valle Anzasca,VB,Alpi Pennine,,,,,,Q19545591,it:Torre di Castelfranco,no,,
020,1373113990,Kleines Fillarhorn,,3621,3500+,45.9597337,7.8778923,Valle Anzasca,VB,Alpi Pennine,,,,,,Q31649074,,no,,
021,1373114762,Cima Brioschi,,3616,3500+,45.9702647,7.8790478,Valle Anzasca,VB,Alpi Pennine,,,,,,Q31640285,,no,,
022,307219462,Schwarzberghorn,,3609,3500+,45.9969671,7.908696,Valle Anzasca,VB,Alpi Pennine,,,,,,Q2080623,it:Schwarzberghorn,no,,
023,482415668,Tresenta,,3609,3500+,45.4992157,7.2642168,Valli di Lanzo,TO,Alpi Graie,,,,,,Q3998431,it:Tresenta,no,,
024,11930295223,Segnale Baretti,,3604,3500+,45.3026499,7.1202824,Valli di Lanzo,TO,Alpi Graie,,,,,,,,no,,
025,3018568390,Cima senza nome,,3599,3500+,45.9948076,7.9066412,Valle Anzasca,VB,Alpi Pennine,,,,,,,,no,,
026,11646993726,Levanna Occidentale,Levanna Occidentale,3594,3500+,45.4141018,7.1620988,Valli di Lanzo,TO,Alpi Graie,,,,,,Q19622331,it:Levanna Occidentale,no,,
027,11646993733,Uja di Bessanese / Bessanèse,Bessanèse,3593,3500+,45.3019187,7.1196648,Valli di Lanzo,TO,Alpi Graie,,,,,,Q1516732,it:Uia di Bessanese,no,,
028,1373113853,Fillarjoch,,3586,3500+,45.9581109,7.8755383,Valle Anzasca,VB,Alpi Pennine,,,,,,,,no,,
029,7237623487,Testa di Money,,3572,3500+,45.5208071,7.340456,Valli di Lanzo,TO,Alpi Graie,,,,,,,,no,,
030,2446780924,La Croix Rousse / Punta Croce Rossa,La Croix Rousse,3566,3500+,45.2602377,7.1355114,Valli di Lanzo,TO,Alpi Graie,,,,,,Q3697995,it:Croce Rossa (monte),no,,
031,1373116309,Roffelhorn Westgipfel / Cima di Roffel occidentale,,3563,3500+,45.9959028,7.9190626,Valle Anzasca,VB,Alpi Pennine,,,,,,,,no,,
032,1373149583,Monte Leone,,3552,3500+,46.2495092,8.1101591,Val d'Ossola,VB,Alpi Lepontine,1143,,,,,Q15296,de:Monte Leone,no,,
033,2440747316,Petite Ciamarella / Piccola Ciamarella,Petite Ciamarella,3540,3500+,45.3289525,7.1299401,Valli di Lanzo,TO,Alpi Graie,,,,,,,,no,,
034,960548740,Rocciamelone,Rochemelon,3538,3500+,45.2034649,7.0772093,Val di Susa,TO,Alpi Cozie Nord,,,,,,Q608238,it:Rocciamelone,no,,
035,391413466,Aiguille de Scolette / Pierre Menue,Aiguille de Scolette,3506,3500+,45.1597528,6.7682042,Val di Susa,TO,Alpi Cozie Nord,1069,si,,,,Q2275702,fr:Aiguille de Scolette,no,,
036,11926210585,Anticima Levanna Orientale,,3500,3500+,45.4009285,7.1820189,Valli di Lanzo,TO,Alpi Graie,,,,,,,,no,,
037,1506069874,Punta Grober,,3497,3000+,45.9212095,7.9235314,Valle Anzasca,VB,Alpi Pennine,,,,,,Q2572420,it:Punta Grober,no,,
038,1373125551,Cima senza nome,,3490,3000+,46.0952443,8.0338782,Val d'Ossola,VB,Alpi Lepontine,,,,,,,,no,,
039,1373122354,Pizzo Bottarello - Sonnighorn,,3487,3000+,46.0742168,8.0224,Val d'Ossola,VB,Alpi Lepontine,,,,,,Q1750009,it:Pizzo Bottarello,no,,
040,1373116461,Roffelhorn Ostgipfel / Cima di Roffel orientale,,3478,3000+,45.997147,7.927574,Valle Anzasca,VB,Alpi Pennine,,,,,,,,no,,
041,2440747893,Pointe de Chalanson / Punta Chalanson,Pointe de Chalanson,3466,3000+,45.3271413,7.1262944,Valli di Lanzo,TO,Alpi Graie,,,,,,Q3925659,it:Punta Chalanson,no,,
042,11926210602,Punta Martellot,,3452,3000+,45.3806388,7.1627841,Valli di Lanzo,TO,Alpi Graie,,,,,,,,no,,
043,11926210604,Dent d'Ecot,,3452,3000+,45.3779121,7.1628426,Valli di Lanzo,TO,Alpi Graie,,,,,,,,no,,
044,7237577534,Torre Rossa di Piantonetto,,3450,3000+,45.5185661,7.3396832,Valli di Lanzo,TO,Alpi Graie,,,,,,,,no,,
045,4325496968,Punta Corsica,,3443,3000+,44.6583574,7.0841558,Valle Varaita,TO,Alpi Cozie Sud,,,,,,,,no,,
046,670533401,Roc du Mulinet,,3442,3000+,45.3806917,7.1627579,Valli di Lanzo,TO,Alpi Graie,,,,,,Q3939362,it:Roc du Mulinet,no,,
047,7237616085,Testa di Gran Crou,,3438,3000+,45.5152498,7.3086577,Valli di Lanzo,TO,Alpi Graie,,,,,,,,no,,
048,4439581751,Punta Vittoria,,3435,3000+,45.8967991,7.8782549,Valle Anzasca,VB,Alpi Pennine,,,,,,Q31615320,,no,,
049,699806213,Pointe Francesetti,Pointe Francesetti,3433,3000+,45.35804,7.1577729,Valli di Lanzo,TO,Alpi Graie,,,,,,,,no,,
