ID OSM,Nome cima,Quota cima,Tag altitudine,Valle,Catena,Provincia
1373112888,Grenzgipfel,4618,4000+,Valle Anzasca,Alpi Pennine,VB
1243390246,Nordendspitze,4609,4000+,Valle Anzasca,Alpi Pennine,VB
307196932,Punta Gnifetti / Signalkuppe,4554,4000+,Valle Anzasca,Alpi Pennine,VB
918819227,Punta Giordani,4046,4000+,Valle Anzasca,Alpi Pennine,VB
26864004,Monviso,3841,3500+,Valle Varaita,Alpi Cozie Sud,TO
1373115476,Cima di Jazzi,3803,3500+,Valle Anzasca,Alpi Pennine,VB
2407060934,Viso di Vallanta,3781,3500+,Valle Varaita,Alpi Cozie Sud,TO
483087129,Torre del Gran San Pietro,3692,3500+,Valli di Lanzo,Alpi Graie,TO
26863007,Uia di Ciamarella,3676,3500+,Valli di Lanzo,Alpi Graie,TO
1373114450,Grosses Fillarhorn,3676,3500+,Valle Anzasca,Alpi Pennine,VB
307242905,Pizzo d'Andolla,3654,3500+,Val d'Ossola,Alpi Lepontine,VB
483087120,Testa della Tribolazione,3642,3500+,Valli di Lanzo,Alpi Graie,TO
1373116117,Neue Weisstorspitze,3641,3500+,Valle Anzasca,Alpi Pennine,VB
1373115916,Neue Weisstorspitze,3639,3500+,Valle Anzasca,Alpi Pennine,VB
3018568584,Torre di Castelfranco,3627,3500+,Valle Anzasca,Alpi Pennine,VB
1373113990,Kleines Fillarhorn,3621,3500+,Valle Anzasca,Alpi Pennine,VB
1373114762,Cima Brioschi,3616,3500+,Valle Anzasca,Alpi Pennine,VB
307219462,Schwarzberghorn,3609,3500+,Valle Anzasca,Alpi Pennine,VB
482415668,Tresenta,3609,3500+,Valli di Lanzo,Alpi Graie,TO
11930295223,Segnale Baretti,3604,3500+,Valli di Lanzo,Alpi Graie,TO
11646993726,Levanna Occidentale,3594,3500+,Valli di Lanzo,Alpi Graie,TO
11646993733,Uja di Bessanese / Bessanèse,3593,3500+,Valli di Lanzo,Alpi Graie,TO
1373113853,Fillarjoch,3586,3500+,Valle Anzasca,Alpi Pennine,VB
7237623487,Testa di Money,3572,3500+,Valli di Lanzo,Alpi Graie,TO
2446780924,La Croix Rousse / Punta Croce Rossa,3566,3500+,Valli di Lanzo,Alpi Graie,TO
1373116309,Roffelhorn Westgipfel / Cima di Roffel occidentale,3563,3500+,Valle Anzasca,Alpi Pennine,VB
1373149583,Monte Leone,3552,3500+,Val d'Ossola,Alpi Lepontine,VB
2440747316,Petite Ciamarella / Piccola Ciamarella,3540,3500+,Valli di Lanzo,Alpi Graie,TO
960548740,Rocciamelone,3538,3500+,Val di Susa,Alpi Cozie Nord,TO
391413466,Aiguille de Scolette / Pierre Menue,3506,3500+,Val di Susa,Alpi Cozie Nord,TO
11926210585,Anticima Levanna Orientale,3500,3500+,Valli di Lanzo,Alpi Graie,TO
1506069874,Punta Grober,3497,3000+,Valle Anzasca,Alpi Pennine,VB
1373122354,Pizzo Bottarello - Sonnighorn,3487,3000+,Val d'Ossola,Alpi Lepontine,VB
1373116461,Roffelhorn Ostgipfel / Cima di Roffel orientale,3478,3000+,Valle Anzasca,Alpi Pennine,VB
2440747893,Pointe de Chalanson / Punta Chalanson,3466,3000+,Valli di Lanzo,Alpi Graie,TO
11926210602,Punta Martellot,3452,3000+,Valli di Lanzo,Alpi Graie,TO
11926210604,Dent d'Ecot,3452,3000+,Valli di Lanzo,Alpi Graie,TO
7237577534,Torre Rossa di Piantonetto,3450,3000+,Valli di Lanzo,Alpi Graie,TO
4325496968,Punta Corsica,3443,3000+,Valle Varaita,Alpi Cozie Sud,TO
670533401,Roc du Mulinet,3442,3000+,Valli di Lanzo,Alpi Graie,TO
7237616085,Testa di Gran Crou,3438,3000+,Valli di Lanzo,Alpi Graie,TO
4439581751,Punta Vittoria,3435,3000+,Valle Anzasca,Alpi Pennine,VB
699806213,Pointe Francesetti,3433,3000+,Valli di Lanzo,Alpi Graie,TO
7237646185,Punta Scatiglion Occidentale,3433,3000+,Valli di Lanzo,Alpi Graie,TO
5315799287,Punta Tre Amici,3425,3000+,Valle Anzasca,Alpi Pennine,VB
11926210605,Punta Groscavallo,3423,3000+,Valli di Lanzo,Alpi Graie,TO
6614687891,Monte Nero,3422,3000+,Valli di Lanzo,Alpi Graie,TO
1244935694,Augstkummenhorn,3419,3000+,Val d'Ossola,Alpi Lepontine,VB
482415675,Punta Fourà,3411,3000+,Valli di Lanzo,Alpi Graie,TO
2428041759,Cimone di Camposecco,3398,3000+,Val d'Ossola,Alpi Lepontine,VB
7237646186,Punta Scatiglion Orientale,3397,3000+,Valli di Lanzo,Alpi Graie,TO
921189624,Punta Fiume,3393,3000+,Valle Varaita,Alpi Cozie Sud,TO
